Gymnast Name,Gymnast ID,Active,Apparatus,Skill Name,Total Competed,Total Landed,Total Falls
"Ásmundur Óskar Ásmundsson",2ebcdf13-19ba-4c85-b7a3-a8150f021e4f,true,tumbling,"Pike Handspring Full Half Straight",2,2,0
"Ásmundur Óskar Ásmundsson",2ebcdf13-19ba-4c85-b7a3-a8150f021e4f,true,tumbling,"Roundoff Flick Double Straight",2,2,0
"Ásmundur Óskar Ásmundsson",2ebcdf13-19ba-4c85-b7a3-a8150f021e4f,true,tumbling,"Roundoff Flick Double Straight 2.0",1,1,0
"Axel Mattsson",e75e2753-f3d4-4d41-8aeb-dee6a9a1a411,true,trampette,"Tripple Tuck 0.5",1,1,0
"Axel Mattsson",e75e2753-f3d4-4d41-8aeb-dee6a9a1a411,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Axel Mattsson",e75e2753-f3d4-4d41-8aeb-dee6a9a1a411,true,tumbling,"Roundoff Flick Double Straight 1.0",1,1,0
"Axel Mattsson",e75e2753-f3d4-4d41-8aeb-dee6a9a1a411,true,tumbling,"Roundoff Flick Double Straight 2.0",2,1,1
"Daniel Strandh",24ea971e-ed66-4b1d-8e7e-561f6b5932bd,true,trampette,"Full Rudy Straight",1,1,0
"Daniel Strandh",24ea971e-ed66-4b1d-8e7e-561f6b5932bd,true,trampette,"Handspring Straight 0.5",1,1,0
"Daniel Strandh",24ea971e-ed66-4b1d-8e7e-561f6b5932bd,true,trampette,"Tripple Tuck 0.5",1,1,0
"Daniel Strandh",24ea971e-ed66-4b1d-8e7e-561f6b5932bd,true,tumbling,"Pike Handspring Double Tuck",1,1,0
"Daniel Strandh",24ea971e-ed66-4b1d-8e7e-561f6b5932bd,true,tumbling,"Straight Handspring Straight 1.5",1,1,0
"Eddy Jesperson",a78ed1d4-5eee-4d9e-9663-46fccc310948,false,trampette,"Full Half Back Tuck",1,1,0
"Eddy Jesperson",a78ed1d4-5eee-4d9e-9663-46fccc310948,false,trampette,"Handspring Straight 2.5",1,1,0
"Eddy Jesperson",a78ed1d4-5eee-4d9e-9663-46fccc310948,false,trampette,"Tripple Tuck 0.5",1,1,0
"Eddy Jesperson",a78ed1d4-5eee-4d9e-9663-46fccc310948,false,tumbling,"Doubble Tuck 0.5 Whip Flick Double Tuck 2.0",1,0,1
"Eddy Jesperson",a78ed1d4-5eee-4d9e-9663-46fccc310948,false,tumbling,"Pike Handspring Double Staight 0.5",1,1,0
"Eddy Jesperson",a78ed1d4-5eee-4d9e-9663-46fccc310948,false,tumbling,"Roundoff Flick Double Straight",1,1,0
"Elis Burstedt",99bd7954-9cc1-4f9b-98e5-e4412d41617b,true,trampette,"Full Rudy Straight",1,1,0
"Elis Burstedt",99bd7954-9cc1-4f9b-98e5-e4412d41617b,true,trampette,"Handspring Straight 1.5",1,1,0
"Elis Burstedt",99bd7954-9cc1-4f9b-98e5-e4412d41617b,true,tumbling,"Roundoff Flick Double Straight 1.0",1,1,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,trampette,"Full Half Straight",1,1,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,trampette,"Full Rudy Straight",4,4,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,trampette,"Handspring Straight 0.5",1,1,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,trampette,"Handspring Straight 1.5",2,2,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,trampette,"Handspring Straight 2.5",1,1,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,trampette,"Tripple Tuck 0.5",4,3,1
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,tumbling,"Pike Handspring Double Tuck",3,1,2
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,tumbling,"Pike Handspring Double Tuck 0.5",2,2,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,tumbling,"Roundoff Flick Double Straight",3,3,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,tumbling,"Roundoff Flick Double Straight 1.0",2,2,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,tumbling,"Roundoff Flick Double Straight 2.0",1,1,0
"Erik Björnek",bd70b4e6-c85e-4e18-9732-ed0d674093ef,true,tumbling,"Straight Handspring Straight 1.5",2,2,0
"Erik Öhrn",98655ce8-e01f-42a0-9d8e-4189486f9405,true,trampette,"Handspring Straight 0.5",1,1,0
"Erik Öhrn",98655ce8-e01f-42a0-9d8e-4189486f9405,true,trampette,"Handspring Straight 1.5",1,1,0
"Erik Öhrn",98655ce8-e01f-42a0-9d8e-4189486f9405,true,trampette,"Tripple Pike 0.5",1,0,1
"Erik Öhrn",98655ce8-e01f-42a0-9d8e-4189486f9405,true,trampette,"Tripple Tuck 0.5",2,1,1
"Erik Öhrn",98655ce8-e01f-42a0-9d8e-4189486f9405,true,tumbling,"Pike Handspring Double Pike 0.5",2,2,0
"Erik Öhrn",98655ce8-e01f-42a0-9d8e-4189486f9405,true,tumbling,"Pike Handspring Double Straight 0.5",1,1,0
"Erik Öhrn",98655ce8-e01f-42a0-9d8e-4189486f9405,true,tumbling,"Pike Handspring Double Tuck 0.5",3,3,0
"Erik Öhrn",98655ce8-e01f-42a0-9d8e-4189486f9405,true,tumbling,"Roundoff Flick Double Straight",1,1,0
"Erik Österås",e65681a5-410a-4d8d-b942-0df0609378c9,true,trampette,"Handspring Straight 0.5",1,1,0
"Erik Österås",e65681a5-410a-4d8d-b942-0df0609378c9,true,trampette,"Handspring Straight 1.5",2,2,0
"Erik Österås",e65681a5-410a-4d8d-b942-0df0609378c9,true,trampette,"Tripple Pike 0.5",3,3,0
"Erik Österås",e65681a5-410a-4d8d-b942-0df0609378c9,true,trampette,"Tripple Tuck 0.5",3,3,0
"Erik Österås",e65681a5-410a-4d8d-b942-0df0609378c9,true,tumbling,"Pike Handspring Double Tuck 0.5",1,1,0
"Erik Österås",e65681a5-410a-4d8d-b942-0df0609378c9,true,tumbling,"Roundoff Flick Double Straight",2,2,0
"Erik Österås",e65681a5-410a-4d8d-b942-0df0609378c9,true,tumbling,"Roundoff Flick Double Straight 2.0",3,3,0
"Erik Österås",e65681a5-410a-4d8d-b942-0df0609378c9,true,tumbling,"Roundoff Flick Double Tuck 2.0",1,1,0
"Gabriel Salemyr",96d73eb7-d659-44c1-869d-c265cf1877fb,true,tumbling,"Pike Handspring Double Pike",1,0,1
"Gabriel Salemyr",96d73eb7-d659-44c1-869d-c265cf1877fb,true,tumbling,"Pike Handspring Double Tuck",1,1,0
"Gabriel Salemyr",96d73eb7-d659-44c1-869d-c265cf1877fb,true,tumbling,"Pike Handspring Double Tuck 0.5",1,1,0
"Hugo Nyström",224d56ca-8d61-46f8-a893-3d94f6dfe460,true,trampette,"Handspring Straight 1.5",2,2,0
"Hugo Nyström",224d56ca-8d61-46f8-a893-3d94f6dfe460,true,trampette,"Tripple Pike 0.5",4,3,1
"Hugo Nyström",224d56ca-8d61-46f8-a893-3d94f6dfe460,true,trampette,"Tripple Tuck 0.5",4,4,0
"Hugo Nyström",224d56ca-8d61-46f8-a893-3d94f6dfe460,true,tumbling,"Pike Handspring Double Pike 0.5",1,1,0
"Hugo Nyström",224d56ca-8d61-46f8-a893-3d94f6dfe460,true,tumbling,"Pike Handspring Double Straight 0.5",2,2,0
"Hugo Nyström",224d56ca-8d61-46f8-a893-3d94f6dfe460,true,tumbling,"Pike Handspring Full Half Tuck",1,0,1
"Hugo Nyström",224d56ca-8d61-46f8-a893-3d94f6dfe460,true,tumbling,"Roundoff Flick Double Straight",3,3,0
"Hugo Nyström",224d56ca-8d61-46f8-a893-3d94f6dfe460,true,tumbling,"Roundoff Flick Double Straight 2.0",4,4,0
